Genus,Group,Family,Source
Melanoxylum,A,Fabaceae,APG4
Melanthera,A,Asteraceae,APG4
Melanthes,A,Phyllanthaceae,APG4
Melanthesa,A,Phyllanthaceae,APG4
Melanthesopsis,A,Phyllanthaceae,APG4
Melanthium,A,Melanthiaceae,APG4
Melargyra,A,Caryophyllaceae,APG4
Melarhiza,A,Asteraceae,APG4
Melascus,A,Convolvulaceae,APG4
Melasma,A,Orobanchaceae,APG4
Melasphaerula,A,Iridaceae,APG4
Melastoma,A,Melastomataceae,APG4
Melastomastrum,A,Melastomataceae,APG4
Melchiora,A,Pentaphylacaceae,APG4
Melhania,A,Malvaceae,APG4
Melia,A,Meliaceae,APG4
Meliadelpha,A,Meliaceae,APG4
Meliandra,A,Melastomataceae,APG4
Melianthus,A,Francoaceae,APG4
Melica,A,Poaceae,APG4
Melichrus,A,Ericaceae,APG4
Melicocca,A,Sapindaceae,APG4
Melicoccus,A,Sapindaceae,APG4
Melicope,A,Rutaceae,APG4
Melicytus,A,Violaceae,APG4
Melidiscus,A,Cleomaceae,APG4
Melientha,A,Opiliaceae,APG4
Melilota,A,Fabaceae,APG4
Melilotoides,A,Fabaceae,APG4
Melilotus,A,Fabaceae,APG4
Melinia,A,Apocynaceae,APG4
Melinis,A,Poaceae,APG4
Melinospermum,A,Fabaceae,APG4
Melinum,A,Poaceae,APG4
Meliocarpus,A,Apiaceae,APG4
Meliopsis,A,Oleaceae,APG4
Melioschinzia,A,Meliaceae,APG4
Melio-Schinzia,A,Meliaceae,APG4
Melio-schinzia,A,Meliaceae,APG4
Meliosma,A,Sabiaceae,APG4
Melisitus,A,Fabaceae,APG4
Melissa,A,Lamiaceae,APG4
Melissitus,A,Fabaceae,APG4
Melissopsis,A,Asteraceae,APG4
Melittacanthus,A,Acanthaceae,APG4
Melittis,A,Lamiaceae,APG4
Mella,A,Scrophulariaceae,APG4
Mellera,A,Acanthaceae,APG4
Mellichampia,A,Apocynaceae,APG4
Melliniella,A,Fabaceae,APG4
Melliodendron,A,Styracaceae,APG4
Mellissia,A,Solanaceae,APG4
Mellitis,A,Lamiaceae,APG4
